school_code,latitude,longitude,school_class,operation_type,highschool_type,gender,foundation_date,address_by_law
S010000917,37.55834131,127.1533139,elementary,public,,both,1985.7.10,1174010200
S010000918,37.48499277,127.1275957,elementary,public,,both,1993.7.20,1171010800
S010000919,37.48889497,127.128721,elementary,public,,both,1984.12.5,1171010800
S010000920,37.50937106,127.12096979999998,elementary,public,,both,1991.10.30,1171011100
S010000921,37.51343915,127.12093529999999,elementary,public,,both,1981.9.9,1171011100
S010000922,37.50145573,127.09258909999998,elementary,public,,both,1983.10.7,1171010600
S010000923,37.54714083,127.17233290000001,elementary,public,,both,1921.10.2,1174010300
S010000924,37.50257259,127.10477730000001,elementary,public,,both,1989.8.7,1171010500
S010000925,37.52964096,127.1459128,elementary,public,,both,1985.7.1,1174010600
S010000926,37.55601842,127.1287926,elementary,public,,both,2001.9.1,1174010700
S010000927,37.53124788,127.12246540000001,elementary,public,,both,1969.3.1,1174010800
S010000928,37.52911527,127.12835759999999,elementary,public,,both,1983.10.6,1174010800
S010000929,37.51844009,127.1340298,elementary,public,,both,1988.12.8,1171011100
S010000930,37.50881326,127.0950142,elementary,public,,both,1978.5.11,1171010100
S010000931,37.50708693,127.110752,elementary,public,,both,1985.10.21,1171010400
S010000932,37.50001932,127.12009779999998,elementary,public,,both,1988.8.2,1171010700
S010000933,37.54103994,127.1495915,elementary,public,,both,1982.5.4,1174010500
S010000934,37.54929979999999,127.1243019,elementary,public,,both,1980.10.25,1174010700
S010000935,37.51398996,127.0950476,elementary,public,,both,1959.5.26,1171000000
S010000936,37.50558066,127.07576399999999,elementary,public,,both,1986.12.17,1171010100
S010000937,37.49600417,127.14295359999998,elementary,public,,both,1982.10.10,1171011300
S010000938,37.50915569,127.13179709999999,elementary,public,,both,1993.7.20,1171011200
S010000939,37.51208485,127.1345763,elementary,public,,both,1988.12.8,1171011100
S010000941,37.51796437,127.10004840000002,elementary,public,,both,1980.9.29,1171010200
S010000942,37.51411407,127.0880021,elementary,public,,both,1981.8.5,1171010100
S010000943,37.52010753,127.11126999999999,elementary,public,,both,1975.11.1,1171010200
S010000944,37.51505804,127.08141770000002,elementary,public,,both,1976.3.12,1171010100
S010000945,37.50678211,127.08420670000001,elementary,public,,both,1981.9.9,1171010100
S010000946,37.50011095,127.11391670000002,elementary,public,,both,1924.11.13,1171010400
S010000947,37.54058516,127.1375686,elementary,public,,both,1982.12.7,1174010500
S010000948,37.54407164,127.1331024,elementary,public,,both,1985.10.17,1174010900
S010000949,37.54740529,127.1364524,elementary,public,,both,1944.5.1,1174010900
S010000950,37.53164751,127.11514009999999,elementary,public,,both,1983.10.6,1171010300
S010001235,37.50034896,126.8959027,elementary,public,,both,1982.7.7,1156013300
S010001236,37.45940722,126.90865120000001,elementary,public,,both,1991.10.30,1154510300
S010001237,37.45817893,126.8885094,elementary,public,,both,1991.1.21,1154510200
S010001238,37.52289028,126.9364713,elementary,public,,both,1971.11.1,1156011000
S010001239,37.47568056,126.90943390000001,elementary,public,,both,1956.3.26,1154510200
S010001240,37.52690543,126.9075114,elementary,public,,both,1956.5.17,1156011600
S010001241,37.51287942,126.898215,elementary,public,,both,1945.11.1,1156011900
S010001242,37.4872977,126.90253929999999,elementary,public,,both,1982.7.7,1156013300
S010001243,37.48842542,126.8947429,elementary,public,,both,1979.2.2,1153010200
S010001244,37.50985335,126.91819170000001,elementary,public,,both,1967.11.27,1156013200
S010001245,37.51055944,126.90226650000001,elementary,public,,both,2002.9.1,1156010100
S010001246,37.48519096,126.8837685,elementary,public,,both,1967.11.29,1153010300
S010001247,37.52383821,126.90394669999999,elementary,public,,both,1949.4.1,1156010800
S010001248,37.48938155,126.8384138,elementary,public,,both,1982.6.1,1153010800
S010001249,37.49804492,126.8423578,elementary,public,,both,1943.5.23,1153010800
S010001250,37.48973575,126.82630729999998,elementary,public,,both,1986.1.9,1153010800
S010001251,37.49387139,126.82607900000001,elementary,public,,both,1984.1.27,1153011000
S010001252,37.50942733,126.91178490000001,elementary,public,,both,1915.3.5,1156013200
S010001253,37.51991461,126.92302169999999,elementary,public,,both,1979.12.26,1156011000
S010001254,37.4707047,126.90790590000002,elementary,public,,both,1982.11.10,1154510200
S010001255,37.45292038,126.9147652,elementary,public,,both,1967.9.15,1154510300
S010001394,37.59455742,127.04876680000001,elementary,private,,both,1961.3.31,1123010800
S010001395,37.61501531,127.08966809999998,elementary,private,,both,1965.6.7,1126010600
S010001396,37.58912911,127.0478355,elementary,private,,both,1919.4.1,1123010800
S010001397,37.56430147,127.06134709999999,elementary,public,,both,1976.1.6,1123010600
S010001398,37.56872503,127.055608,elementary,public,,both,1962.2.1,1123010500
S010001399,37.57211378,127.06457409999999,elementary,public,,both,1983.12.3,1123010500
S010001400,37.60465557,127.1051687,elementary,public,,both,1991.1.21,1126010500
S010001401,37.59832903,127.1034344,elementary,public,,both,1976.8.20,1126010500
S010001402,37.57719558,127.0882508,elementary,public,,both,1982.7.1,1126010100
S010001403,37.58526987,127.0866805,elementary,public,,both,1978.9.1,1126010100
S010001404,37.59113421,127.0877149,elementary,public,,both,1930.4.1,1126010100
S010001405,37.59428349,127.10337279999999,elementary,public,,both,1983.7.1,1126010500
S010001406,37.59188275,127.0996567,elementary,public,,both,1983.4.21,1126010500
S010001407,37.58216276,127.0967221,elementary,public,,both,1976.6.5,1126010100
S010001408,37.60399167,127.08143829999999,elementary,public,,both,1972.10.25,1126010300
S010001409,37.57989859,127.06624380000001,elementary,public,,both,1971.1.5,1123010400
S010001410,37.61331383,127.0921725,elementary,public,,both,1995.11.15,1126010600
S010001411,37.59809416,127.0836798,elementary,public,,both,1983.10.25,1126010200
S010001412,37.60437742,127.09998119999999,elementary,public,,both,1994.1.5,1126010600
S010001413,37.57300059,127.0433994,elementary,public,,both,1971.9.1,1123010500
S010001414,37.60716846,127.07555190000001,elementary,public,,both,1984.12.5,1126010400
S010001415,37.60564979,127.09358519999999,elementary,public,,both,1995.1.5,1126010600
S010001416,37.56571163,127.07181499999999,elementary,public,,both,1990.7.16,1123010600
S010001417,37.5756461,127.0289784,elementary,public,,both,1948.11.1,1123010200
S010001418,37.61768065,127.0861068,elementary,public,,both,1995.11.10,1126010400
S010001419,37.60224457,127.06404009999999,elementary,public,,both,1967.9.6,1123011000
S010001420,37.57380744,127.0733241,elementary,public,,both,1980.4.4,1123010600
S010001421,37.58040215,127.05646809999999,elementary,public,,both,1959.5.8,1123010400
S010001422,37.574417600000004,127.05440890000001,elementary,public,,both,1942.4.8,1123010400
S010001423,37.57936573,127.061479,elementary,public,,both,1968.12.6,1123010400
S010001424,37.58186983,127.03125590000002,elementary,public,,both,1922.7.8,1123010300
S010001425,37.57436078,127.0835305,elementary,public,,both,1967.9.5,1126010100
S010001426,37.589188299999996,127.0757847,elementary,public,,both,1972.5.8,1126010100
S010001427,37.58997982,127.0793361,elementary,public,,both,1997.11.4,1126010100
S010001428,37.60300324,127.0946485,elementary,public,,both,1946.11.7,1126010600
S010001429,37.6015751,127.0842006,elementary,public,,both,1999.7.26,1126010300
S010001430,37.59203304,127.05561979999999,elementary,public,,both,1937.4.5,1123010800
S010001431,37.59098046,127.0471967,elementary,public,,both,1967.9.15,1123010700
S010001432,37.58622252,127.0393779,elementary,public,,both,1959.5.8,1123010300
S010001433,37.58573583,127.0581216,elementary,public,,both,1959.10.10,1123010900
S010001434,37.57841,127.07526979999999,elementary,private,,both,1963.3.28,1123010600
S010001576,37.50619275,126.9532007,elementary,public,,both,1945.11.2,1159010300
S010001577,37.48065828,126.94292379999999,elementary,public,,both,1971.12.4,1162010100
S010001578,37.48939905,126.9469801,elementary,public,,both,1977.2.11,1162010100
S010001579,37.46924045,126.91666409999998,elementary,public,,both,1971.4.22,1162010200
S010001580,37.4768265,126.9178675,elementary,public,,both,1976.12.3,1162010200
S010001581,37.46232075,126.9179108,elementary,public,,both,1981.4.6,1162010200
S010001582,37.48486115,126.9220969,elementary,public,,both,1985.10.8,1162010200
S010001583,37.48234361,126.9788622,elementary,public,,both,1979.9.27,1159010700
S010001584,37.48444155,126.9760922,elementary,public,,both,1967.11.20,1159010700
S010001585,37.51115855,126.9410107,elementary,public,,both,1948.3.20,1159010100
S010001586,37.49000006,126.92998529999998,elementary,public,,both,1974.9.10,1162010100
S010001587,37.5006148,126.92573300000001,elementary,public,,both,1973.8.1,1159010800
S010001588,37.49410161,126.97684109999999,elementary,public,,both,1982.7.7,1159010700
S010001589,37.48879881,126.91366470000001,elementary,public,,both,1946.4.6,1159010900
S010001590,37.47793138,126.91253909999999,elementary,public,,both,1980.4.17,1162010200
S010001591,37.51020148,126.95366229999999,elementary,public,,both,1948.8.25,1159010400
S010001592,37.48309001,126.95832309999999,elementary,public,,both,1967.9.15,1162010100
S010001593,37.47348428,126.97430179999999,elementary,public,,both,1972.7.13,1162010300
S010001594,37.46790699,126.94102050000001,elementary,public,,both,1972.8.3,1162010200
S010001595,37.49995159,126.9372288,elementary,public,,both,1966.2.6,1159010200
S010001596,37.51038715,126.92664479999999,elementary,public,,both,1964.3.12,1159010800
S010001597,37.4889652,126.96516909999998,elementary,public,,both,1975.3.11,1159010700
S010001598,37.4773529,126.9275253,elementary,public,,both,1970.5.25,1162010200
S010001599,37.48529595,126.9491081,elementary,public,,both,1981.7.13,1162010100
S010001600,37.50017384,126.94397759999998,elementary,public,,both,1981.9.9,1159010200
S010001601,37.47179668,126.9372757,elementary,public,,both,1982.7.7,1162010200
S010001602,37.46258977,126.93282450000001,elementary,public,,both,1977.9.1,1162010200
S010001603,37.51050224,126.9488388,elementary,public,,both,1967.11.27,1159010400
S010001604,37.50914588,126.9331672,elementary,public,,both,1962.9.3,1159010800
S010001605,37.48112333,126.95645719999999,elementary,public,,both,1972.12.9,1162010100
S010001606,37.46694889,126.92731040000001,elementary,public,,both,2002.7.10,1162010200
S010001607,37.50335439,126.9599535,elementary,public,,both,1908.11.1,1159010500
S010001608,37.48698484,126.9427248,elementary,public,,both,1958.4.1,1162010100
S010001609,37.47633272,126.9603445,elementary,public,,both,1979.12.31,1162010100
S010001610,37.47578967,126.9512057,elementary,public,,both,1985.10.18,1162010100
S010001611,37.48161782,126.96457350000001,elementary,public,,both,1992.5.6,1159010700
S010001612,37.50858213,126.9651701,elementary,public,,both,1968.5.20,1159010500
S010001613,37.50538033,126.9601067,elementary,private,,both,1964.12.3,1159010500
S010001733,37.65500731,127.0262313,elementary,private,,both,1964.4.4,1132010500
S010000701,37.48590542,127.05641659999999,middle,public,,both,1988.12.24,1168010300
S010000702,37.52983754,127.03295990000002,middle,public,,both,1983.3.1,1168011000
S010000704,37.49620973,127.0559993,middle,private,,male,1941.5.25,1168010600
S010000705,37.50605865,127.061073,middle,public,,both,1990.1.20,1168010600
S010000706,37.48313817,127.08740159999998,middle,public,,both,1994.1.5,1168011500
S010000707,37.49016889,127.0585662,middle,public,,both,1987.5.6,1168010600
S010000708,37.48415651,127.0477186,middle,public,,both,1986.1.29,1168011800
S010000709,37.49258637,127.04513909999999,middle,public,,both,1991.1.21,1168011800
S010000710,37.47602586,126.9915008,middle,private,,female,1908.4.27,1165010100
S010000711,37.50304393,126.9921528,middle,public,,male,1974.12.27,1165010700
S010000712,37.49451866,126.99849540000001,middle,public,,both,1980.12.27,1165010700
S010000713,37.51910487,127.0627595,middle,public,,both,1986.1.29,1168010500
S010000714,37.48879406,126.9845622,middle,private,,female,1978.12.29,1165010100
S010002004,37.62081253,126.9294822,elementary,public,,both,1984.5.6,1138010300
S010002005,37.56923664,126.9338938,elementary,public,,both,1968.12.7,1141011700
S010002006,37.54244648,126.945885,elementary,public,,both,1983.8.3,1144010900
S010002007,37.54872321,126.94375430000001,elementary,public,,both,1916.4.26,1144010800
S010002008,37.60204594,126.93446909999999,elementary,public,,both,1931.4.1,1138010200
S010002009,37.58837729,126.9214668,elementary,public,,both,1962.11.12,1138010700
S010002010,37.59023007,126.94478909999998,elementary,public,,both,1962.11.12,1141011100
S010002011,37.56662306,126.9113446,elementary,public,,both,1977.9.1,1144012500
S010002012,37.58241375,126.90451850000001,elementary,public,,both,1976.11.26,1138011000
S010002013,37.55761215,126.9339648,elementary,public,,both,1961.11.1,1141011600
S010002014,37.55488653,126.939603,elementary,public,,both,1940.1.29,1144011000
S010002015,37.55351907,126.9496358,elementary,public,,both,1945.11.1,1144010900
S010002016,37.58171496,126.9310551,elementary,public,,both,1975.7.3,1141011800
S010002017,37.59741985,126.949743,elementary,public,,both,1974.3.6,1141011100
S010002018,37.59307781,126.9444064,elementary,public,,both,1937.5.21,1141011800
S010002019,37.61987516,126.91316909999999,elementary,private,,both,1965.9.7,1138010400
S010002021,37.61027453,126.9143432,elementary,private,,both,1965.9.26,1138010500
S010002023,37.56099648,126.9427504,elementary,private,,both,1955.4.8,1141011300
S010002024,37.56373909,126.95307679999999,elementary,private,,both,1964.7.20,1141011000
S010002025,37.58545471,126.9224885,elementary,private,,both,1965.11.15,1138010700
S010002026,37.559856599999996,126.9127395,elementary,private,,both,1966.3.12,1144012500
S010002163,37.5498296,127.0868108,elementary,private,,both,1978.12.1,1121510200
S010002164,37.54304168,127.05047090000001,elementary,public,,both,1913.10.1,1120011400
S010002165,37.54035344,127.05833179999999,elementary,public,,both,1982.4.29,1120011500
S010002166,37.54045968,127.0470928,elementary,public,,both,1984.10.31,1120011400
S010002167,37.54081543,127.10093459999999,elementary,public,,both,1990.1.20,1121510400
S010002168,37.54832225,127.1013357,elementary,public,,both,1946.11.10,1121510400
S010002169,37.53683145,127.09233090000001,elementary,public,,both,1998.3.1,1121510300
S010002170,37.54300899,127.0807327,elementary,public,,both,1981.12.26,1121510700
S010002171,37.55709198,127.0235067,elementary,public,,both,1968.11.26,1120010900
S010002172,37.54632146,127.01760120000002,elementary,public,,both,1962.4.12,1120011200
S010002173,37.55258035,127.0201514,elementary,public,,both,1958.4.1,1120011000
S010002174,37.56856515,127.0356624,elementary,public,,both,1944.10.10,1120010500
S010002175,37.5535347,127.0984388,elementary,public,,both,1987.7.9,1121510300
S010002176,37.53458883,127.07257959999998,elementary,public,,both,1984.12.5,1121510500
S010002195,37.54418994,127.0711405,elementary,public,,both,1983.7.1,1121510700
S010002177,37.56293165,127.0296135,elementary,public,,both,1915.9.1,1120010200
S010002178,37.562684999999995,127.047545,elementary,public,,both,1967.7.11,1120010600
S010002179,37.54433609,127.0632562,elementary,public,,both,1972.9.1,1120011500
S010002180,37.53117606,127.083145,elementary,public,,both,1984.5.18,1121510500
S010002181,37.53462395,127.06914209999998,elementary,public,,both,1979.4.11,1121510500
S010002182,37.53027881,127.07560090000001,elementary,public,,both,1982.12.7,1121510500
S010002183,37.53107315,127.08966059999999,elementary,public,,both,1983.12.3,1121510500
S010002184,37.5461524,127.0220121,elementary,public,,both,1967.3.27,1120011200
S010002185,37.54189922,127.0153975,elementary,public,,both,1971.5.22,1120011300
S010002186,37.56689003,127.08853700000002,elementary,public,,both,1978.2.13,1121510100
S010002187,37.56073011,127.0535393,elementary,public,,both,1983.4.20,1120012200
S010002188,37.55802533,127.08419009999999,elementary,public,,both,1972.8.1,1121510100
S010002189,37.55010169,127.03369440000002,elementary,public,,both,2002.7.12,1120010800
S010002190,37.53686705,127.079457,elementary,public,,both,1945.12.10,1121510500
S010002191,37.55018701,127.07212690000001,elementary,public,,both,1955.3.19,1121510900
S010002192,37.56511742,127.08243600000002,elementary,public,,both,1998.9.1,1121510100
S010002193,37.56590051,127.0797413,elementary,public,,both,1982.11.10,1121510100
S010002194,37.55659684,127.034673,elementary,public,,both,1962.10.26,1120010700
S010002196,37.53317929,127.08953390000002,elementary,private,,both,1966.12.16,1121510500
S010002197,37.55288743,127.07331059999999,elementary,private,,both,1962.10.4,1121510900
S010002198,37.55776262,127.0501659,elementary,private,,both,1966.2.20,1120010700
S010002289,37.61885977,127.05470690000001,elementary,private,,both,1965.10.25,1129013800
S010002290,37.57907463,127.0236047,elementary,private,,both,1965.12.1,1129012900
S010002291,37.59805481,127.01900900000001,elementary,private,,both,1963.12.5,1129010300
S010002292,37.60178264,127.02777830000001,elementary,public,,both,2002.7.10,1129010300
S010002293,37.61346919,127.01778770000001,elementary,public,,both,1984.12.5,1129013400
S010002294,37.59371444,127.01267890000001,elementary,public,,both,1944.9.30,1129010900
S010002295,37.5829164,127.01675120000002,elementary,public,,both,1948.11.1,1129013200
S010002296,37.61046195,127.0217482,elementary,public,,both,1962.3.28,1129013400
S010002297,37.62122933,127.01369369999999,elementary,public,,both,1971.1.5,1130510100
S010002298,37.62900012,127.04074740000001,elementary,public,,both,1991.3.25,1130510200
S010002299,37.61621955,127.0143301,elementary,public,,both,2001.12.31,1130510100
S010002300,37.58659122,127.01224579999999,elementary,public,,both,1949.9.1,1129011300
S010002301,37.62346894,127.0167773,elementary,public,,both,1959.11.10,1130510100
S010002302,37.61088587,127.0587469,elementary,public,,both,1971.5.25,1129013900
S010002303,37.59391791,126.99826999999999,elementary,public,,both,1946.9.1,1129010100
S010002304,37.61689704,127.0313774,elementary,public,,both,1983.7.1,1130510100
S010002305,37.61566425,127.0237625,elementary,public,,both,1966.12.16,1130510100
S010002306,37.6370879,127.03300039999999,elementary,public,,both,2001.9.1,1130510200
S010002307,37.63093107,127.0201318,elementary,public,,both,1967.3.9,1130510300
S010002308,37.60877414,127.03271709999999,elementary,public,,both,1972.3.1,1129013600
S010002309,37.6043771,127.0138955,elementary,public,,both,1945.5.14,1129013300
S010002310,37.594893,127.0345745,elementary,public,,both,1945.11.1,1129013500
S010002311,37.60908739,127.03840770000001,elementary,public,,both,1937.4.1,1129013600
S010002312,37.58723548,127.0226712,elementary,public,,both,1956.3.24,1129012200
S010002313,37.623268700000004,127.046857,elementary,public,,both,1991.10.2,1130510200
S010002314,37.63847291,127.01488219999999,elementary,public,,both,1949.10.2,1130510300
S010002315,37.6098232,127.0464227,elementary,public,,both,1971.9.1,1129013800
S010002316,37.63194948,127.0116361,elementary,public,,both,1974.6.5,1130510300
S010002317,37.64278663,127.0099567,elementary,public,,both,1982.7.7,1130510300
S010002003,37.59040776,126.9251778,elementary,public,,both,1983.10.20,1138010700
S010000952,37.53473536,127.1179898,elementary,public,,both,1980.8.1,1171010300
S010000953,37.52606185,127.1132696,elementary,public,,both,1991.4.24,1171010300
S010000954,37.52810439,127.1414986,elementary,public,,both,1990.5.1,1174010600
S010001004,37.55538679,126.8358488,elementary,public,,both,1992.7.15,1150010600
S010001005,37.56170039999999,126.85902390000001,elementary,public,,both,1992.7.15,1150010400
S010001006,37.51174342,126.8699978,elementary,public,,both,1987.9.9,1147010100
S010001007,37.522293,126.8405408,elementary,public,,both,1980.10.18,1147010300
S010001008,37.542931700000004,126.8294216,elementary,public,,both,1985.4.19,1147010300
S010001009,37.51602612,126.8339055,elementary,public,,both,1988.2.9,1147010300
S010001010,37.57370704,126.8045332,elementary,public,,both,1956.5.10,1150010900
S010001011,37.53303783,126.88628119999998,elementary,public,,both,1986.11.27,1147010200
S010001012,37.50996546,126.86015559999998,elementary,public,,both,1979.5.6,1147010100
S010001013,37.55780477,126.82273,elementary,public,,both,1992.11.25,1150010500
S010001014,37.56302167,126.8215615,elementary,public,,both,1982.11.10,1150010800
S010001015,37.5152537,126.85397759999998,elementary,public,,both,1991.10.30,1147010100
S010001016,37.55158286,126.8378331,elementary,public,,both,1983.12.3,1150010600
S010001017,37.56062412,126.84229040000001,elementary,public,,both,1995.9.1,1150010200
S010001018,37.55161611,126.85497190000001,elementary,public,,both,1984.11.2,1150010300
S010001019,37.56479579,126.84466599999999,elementary,public,,both,1994.11.30,1150010200
S010001020,37.56050463,126.8498341,elementary,public,,both,1994.11.1,1150010200
S010001021,37.54756456,126.8583713,elementary,public,,both,1982.7.7,1150010200
S010001022,37.56129109,126.8477618,elementary,public,,both,1995.1.10,1150010200
S010001023,37.52248219,126.87208190000001,elementary,public,,both,1973.12.11,1147010100
S010001024,37.54291946,126.8823543,elementary,public,,both,1995.6.5,1147010200
S010001025,37.55003812,126.83103829999999,elementary,public,,both,1979.10.18,1150010600
S010001026,37.56862486,126.80696940000001,elementary,public,,both,1986.1.29,1150010900
S010001027,37.5533589,126.86203540000001,elementary,public,,both,1984.5.22,1150010200
S010001028,37.58014934,126.8102779,elementary,public,,both,1994.5.6,1150010900
S010001029,37.52394438,126.86740259999998,elementary,public,,both,1987.8.31,1147010200
S010001030,37.56242642,126.81102290000001,elementary,public,,both,1936.9.6,1150010800
S010001031,37.56827406,126.8174653,elementary,public,,both,1990.1.20,1150010900
S010001032,37.5259562,126.84165359999999,elementary,public,,both,1983.12.3,1147010300
S010001033,37.53877766,126.8558353,elementary,public,,both,1983.6.17,1150010300
S010001034,37.51612178,126.8444965,elementary,public,,both,1983.10.24,1147010300
S010001035,37.51691589,126.8728673,elementary,public,,both,1982.4.8,1147010100
S010001036,37.52024636,126.86241559999999,elementary,public,,both,1987.10.22,1147010100
S010001037,37.52950283,126.82985500000001,elementary,public,,both,1981.10.12,1147010300
S010001038,37.53999528,126.83911409999999,elementary,public,,both,1975.3.11,1150010300
S010001039,37.53274382,126.852547,elementary,public,,both,1949.10.1,1150010300
S010001040,37.52399802,126.8480459,elementary,public,,both,1987.4.23,1147010300
S010001041,37.52600601,126.8511587,elementary,public,,both,1972.8.11,1147010100
S010001042,37.51511748,126.8564126,elementary,public,,both,1982.11.10,1147010100
S010001043,37.52375478,126.86169640000001,elementary,public,,both,1980.4.17,1147010100
S010001044,37.53865392,126.8234816,elementary,public,,both,1990.12.1,1147010300
S010001045,37.57002501,126.8396521,elementary,public,,both,1900.4.1,1150010400
S010001046,37.54382981,126.87471399999998,elementary,public,,both,1978.8.3,1147010200
S010001047,37.56103067,126.86438940000001,elementary,public,,both,1994.1.4,1150010400
S010001048,37.55229188,126.8722223,elementary,public,,both,1997.5.16,1150010100
S010001049,37.5529516,126.8680558,elementary,public,,both,1963.5.18,1150010100
S010001050,37.53596256,126.871927,elementary,public,,both,1986.10.4,1147010200
S010001051,37.54880324,126.84628049999999,elementary,public,,both,1983.6.10,1150010300
S010001052,37.5343843,126.8363946,elementary,public,,both,1981.12.26,1150010300
S010001053,37.54023674,126.87676780000001,elementary,public,,both,1985.10.12,1147010200
S010001054,37.51125774,126.8673755,elementary,public,,both,1996.7.10,1147010100
S010001055,37.57695491,126.8188827,elementary,public,,both,1992.10.1,1150010900
S010001056,37.53712159,126.870245,elementary,public,,both,1981.9.21,1147000000
S010001057,37.51294157,126.8371342,elementary,public,,both,2002.9.1,1147010100
S010001058,37.57562193,126.81457150000001,elementary,public,,both,1994.1.5,1150010900
